date,headline
2021-01-01,"Transcript: The Beat with Ari Melber, January 7, 2021"
2021-01-01,"Thursday's Mini-Report, 1.7.21"
2021-01-01,"Following Capitol attack, impeachment winds have shifted quickly"
2021-01-01,"After attack, most GOP lawmakers still voted to block Biden's win"
2021-01-01,Ossoff's win in Georgia completes Democratic sweep
2021-01-01,"Four years later, Trump's 'American Carnage' vow turns to tragedy"
2021-01-01,"Following Trump-incited riot, Mulvaney joins resigning officials"
2021-01-01,The 25th Amendment option is a tough hurdle to clear
2021-01-01,An Election and an Insurrection
2021-01-01,Pence learns a lesson: Trump doesn't believe in partial loyalty
2021-01-01,The right's new conspiracy theory: blame left for Capitol riot
2021-01-01,"After inciting riot, Trump claims he'll honor election results"
2021-01-01,Trump's lies led to an assault on Congress. He can't remain in office.
2021-01-01,The pro-Trump attack on the Capitol proves Congress isn't safe
2021-01-01,Feel like your partner isn't cheering you on at work? Here's how to reconnect
2021-01-01,Democrats can't 'look forward' without investigating Donald Trump's potential crimes
2021-01-01,Maybe Lindsey Graham's anti-Trump prediction was right after all
2021-01-01,"Wednesday's Campaign Round-Up, 1.6.21"
2021-01-01,"After Georgia, the left sees the US Supreme Court in a new light"
2021-01-01,How Covid-19 helped Karolina Zmarlak reclaim the soul of her fashion company
2021-01-01,US intel agencies: cyberattack was 'likely Russian in origin'
2021-01-01,Transcript: Matt Olsen: The Line
2021-01-01,Matt Olsen: The Line
2021-01-01,"Despite reality, Trump presses Pence to take actions he cannot take"
2021-01-01,"In the wake of failure, Republicans start to blame Trump"
2021-01-01,Warnock's historic victory upends a failed Republican strategy
2021-01-01,Republicans can't overturn the Electoral College. They just hope you don't know that.
2021-01-01,Trump's Ellipse rally appearance is straight out of Richard Nixon's playbook
2021-01-01,Forget bad apples: Police shoot people like Jacob Blake and Breonna Taylor because of a bad system.
2021-01-01,"Transcript: The Beat with Ari Melber, January 5, 2021"
2021-01-01,"Tuesday's Mini-Report, 1.5.21"
2021-01-01,Trumpism lives on in Congress and the streets of Washington
2021-01-01,"So, who's going to win Georgia's U.S. Senate races?"
2021-01-01,"Tuesday's Campaign Round-Up, 1.5.21"
2021-01-01,5 ways to rethink your resume for 2021
2021-01-01,"Following recording, Trump names new prosecutor in Georgia"
2021-01-01,Trump got one thing right: The world really is watching
2021-01-01,Transcript: Enough is Enough
2021-01-01,"After Trump recording, Obama says 'fundamental principles' at stake"
2021-01-01,Big Business sends message to GOP: Stop messing with democracy
2021-01-01,"At rally, Trump sends an unsettling shot across Pence's bow"
2021-01-01,"If Donald Trump can't lead the GOP, he will destroy it"
2021-01-01,Gabriel Sterling held the press conference but ASL interpreter David Cowan said it all
2021-01-01,"Transcript: The 11th Hour with Brian Williams, January 4, 2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, January 4, 2021"
2021-01-01,"Transcript: The Rachel Maddow Show, January 4, 2021"
2021-01-01,"Transcript: All In with Chris Hayes, January 4, 2021"
2021-01-01,'32 years of progress…vanished in less than a year': 5 ways the pandemic affected gender equity in 2020
2021-01-01,"Transcript: The ReidOut, January 4, 2021"
2021-01-01,"Faced with a staff shortage amid Covid-19, this principal became the bus driver so kids could get to school"
2021-01-01,"Transcript: The Beat with Ari Melber, January 4, 2021"
2021-01-01,"Monday's Mini-Report, 1.4.21"
2021-01-01,Trump promised millions of vaccinations by the end of the year. The truth is far worse.
2021-01-01,"With Nunes honor, Trump treats Medal of Freedom like a party favor"
2021-01-01,Trump isn't making things any easier for GOP candidates in Georgia
2021-01-01,"Monday's Campaign Round-Up, 1.4.21"
2021-01-01,"After his anti-election lawsuit failed, Gohmert didn't take it well"
2021-01-01,"When Raffensperger said, 'The truth will come out,' he wasn't kidding"
2021-01-01,"Targeting democracy, Ted Cruz bristles at criticism of his antics"
2021-01-01,A fresh look at the 'big lesson' Collins wanted Trump to learn
2021-01-01,"McConnell's plan unravels, GOP splinters over anti-election scheme"
2021-01-01,"Trump creates a sequel to 'I would like you to do us a favor, though'"
2021-01-01,"What the Georgia runoff election means for the South, and America"
2021-01-01,5 tips to land your dream job in 2021
2021-01-01,Trump allies shouldn't be sworn into office until cleared of their own claims of election fraud
2021-01-01,An investigation into Trump's pardons would be a great move
2021-01-01,"Transcript: The Rachel Maddow Show, December 31, 2020"
2021-01-01,"Transcript: The ReidOut, December 31, 2020"
2021-02-01,Trump's CPAC speech cements how far the conference — and the GOP — have fallen
2021-02-01,"Transcript: The 11th Hour with Brian Williams, 2/26/2021"
2021-02-01,"Transcript: The Last Word with Lawrence O'Donnell, 2/26/2021"
